Order ID,Order Date,Customer ID,Product ID,Quantity
QEV-37451-860,9/5/2019,17670-51384-MA,R-M-1,2
QEV-37451-860,9/5/2019,17670-51384-MA,E-M-0.5,5
FAA-43335-268,6/17/2021,21125-22134-PX,A-L-1,1
KAC-83089-793,7/15/2021,23806-46781-OU,E-M-1,2
KAC-83089-793,7/15/2021,23806-46781-OU,R-L-2.5,2
CVP-18956-553,8/4/2021,86561-91660-RB,L-D-1,3
IPP-31994-879,1/21/2022,65223-29612-CB,E-D-0.5,3
SNZ-65340-705,5/20/2022,21134-81676-FR,L-L-0.2,1
EZT-46571-659,1/2/2019,03396-68805-ZC,R-M-0.5,3
NWQ-70061-912,9/5/2019,61021-27840-ZN,R-M-0.5,1
BKK-47233-845,3/8/2021,76239-90137-UQ,A-D-1,4
VQR-01002-970,10/28/2020,49315-21985-BB,E-L-2.5,5
SZW-48378-399,7/2/2022,34136-36674-OM,R-M-1,5
ITA-87418-783,5/22/2020,39396-12890-PE,R-D-2.5,2
GNZ-46006-527,4/5/2022,95875-73336-RG,L-D-0.2,3
FYQ-78248-319,6/7/2022,25473-43727-BY,R-M-2.5,5
VAU-44387-624,3/20/2019,99643-51048-IQ,A-M-0.2,6
RDW-33155-159,10/19/2019,62173-15287-CU,A-L-1,6
TDZ-59011-211,6/13/2019,57611-05522-ST,R-D-2.5,4
IDU-25793-399,12/4/2020,76664-37050-DT,A-M-0.2,5
IDU-25793-399,12/4/2020,76664-37050-DT,E-D-0.2,4
NUO-20013-488,12/4/2020,03090-88267-BQ,A-D-0.2,6
UQU-65630-479,1/22/2021,37651-47492-NC,R-M-2.5,4
FEO-11834-332,2/11/2022,95399-57205-HI,A-D-0.2,4
TKY-71558-096,9/15/2021,24010-66714-HW,A-M-1,1
OXY-65322-253,10/24/2020,07591-92789-UA,E-M-0.2,3
EVP-43500-491,2/20/2019,49231-44455-IC,A-M-0.5,4
WAG-26945-689,10/8/2019,50124-88608-EO,A-M-0.2,5
CHE-78995-767,8/2/2022,00888-74814-UZ,A-D-0.5,3
RYZ-14633-602,2/20/2019,14158-30713-OB,A-D-1,4
WOQ-36015-429,9/25/2021,51427-89175-QJ,L-M-0.2,5
WOQ-36015-429,9/25/2021,51427-89175-QJ,A-D-0.5,6
WOQ-36015-429,9/25/2021,51427-89175-QJ,L-M-0.5,6
SCT-60553-454,7/17/2021,39123-12846-YJ,L-L-0.2,5
GFK-52063-244,6/29/2020,44981-99666-XB,L-L-0.5,6
AMM-79521-378,6/1/2021,24825-51803-CQ,A-D-0.5,6
QUQ-90580-772,2/6/2021,77634-13918-GJ,L-M-0.2,2
LGD-24408-274,4/25/2019,13694-25001-LX,L-L-0.5,3
HCT-95608-959,4/25/2020,08523-01791-TI,R-M-2.5,5
OFX-99147-470,11/24/2021,49860-68865-AB,R-M-1,6
LUO-37559-016,4/19/2021,21240-83132-SP,L-M-1,3
XWC-20610-167,7/7/2022,08350-81623-TF,E-D-0.2,2
GPU-79113-136,5/22/2019,73284-01385-SJ,R-D-0.2,3
ULR-52653-960,10/4/2021,04152-34436-IE,L-L-2.5,2
HPI-42308-142,4/11/2020,06631-86965-XP,E-M-0.5,2
XHI-30227-581,1/31/2022,54619-08558-ZU,L-D-2.5,6
DJH-05202-380,11/7/2019,85589-17020-CX,E-M-2.5,2
VMW-26889-781,6/28/2019,36078-91009-WU,A-L-0.2,2
DBU-81099-586,9/11/2020,15770-27099-GX,A-D-2.5,4
PQA-54820-810,8/17/2022,91460-04823-BX,A-L-1,3
XKB-41924-202,8/19/2022,45089-52817-WN,L-D-0.5,2
DWZ-69106-473,5/15/2019,76447-50326-IC,L-L-2.5,4
YHV-68700-050,9/11/2019,26333-67911-OL,R-M-0.5,5
YHV-68700-050,9/11/2019,26333-67911-OL,L-L-2.5,2
KRB-88066-642,3/16/2021,22107-86640-SB,L-M-1,5
LQU-08404-173,12/3/2020,09960-34242-LZ,L-L-1,3
CWK-60159-881,1/27/2020,04671-85591-RT,E-D-0.2,3
EEG-74197-843,7/17/2022,25729-68859-UA,E-L-1,4
UCZ-59708-525,3/4/2022,05501-86351-NX,L-D-2.5,3
HUB-47311-849,12/7/2021,04521-04300-OK,L-M-0.5,3
WYM-17686-694,2/25/2021,58689-55264-VK,A-D-2.5,5
ZYQ-15797-695,2/25/2019,79436-73011-MM,R-D-0.5,5
EEJ-16185-108,2/9/2019,65552-60476-KY,L-L-0.2,5
RWR-77888-800,2/7/2020,69904-02729-YS,A-M-0.5,1
LHN-75209-742,3/23/2020,01433-04270-AX,R-M-0.5,6
TIR-71396-998,3/6/2022,14204-14186-LA,R-D-2.5,4
RXF-37618-213,4/15/2022,32948-34398-HC,R-L-0.5,1
ANM-16388-634,11/19/2021,77343-52608-FF,L-L-0.2,2
WYL-29300-070,10/16/2019,42770-36274-QA,R-M-0.2,1
JHW-74554-805,11/26/2019,14103-58987-ZU,R-M-1,6
KYS-27063-603,6/30/2019,69958-32065-SW,E-L-2.5,4
GAZ-58626-277,1/4/2021,69533-84907-FA,L-L-0.2,2
RPJ-37787-335,10/27/2020,76005-95461-CI,A-M-2.5,3
LEF-83057-763,6/15/2021,15395-90855-VB,L-M-0.2,5
RPW-36123-215,7/19/2021,80640-45811-LB,E-L-0.5,2
WLL-59044-117,7/23/2021,28476-04082-GR,R-D-1,6
AWT-22827-563,1/25/2020,12018-75670-EU,R-L-0.2,1
QLM-07145-668,5/9/2019,86437-17399-FK,E-D-0.2,2
HVQ-64398-930,3/30/2020,62979-53167-ML,A-M-0.5,6
WRT-40778-247,3/13/2022,54810-81899-HL,R-L-1,4
SUB-13006-125,4/17/2019,26103-41504-IB,A-L-0.5,5
CQM-49696-263,10/25/2019,76534-45229-SG,L-L-2.5,3
KXN-85094-246,9/13/2019,81744-27332-RR,L-M-2.5,3
XOQ-12405-419,4/12/2020,91513-75657-PH,R-D-2.5,4
HYF-10254-369,11/14/2019,30373-66619-CB,L-L-0.5,1
XXJ-47000-307,7/18/2019,31582-23562-FM,A-L-2.5,3
XXJ-47000-307,7/18/2019,31582-23562-FM,A-D-0.2,4
ZDK-82166-357,4/3/2021,81431-12577-VD,A-M-1,3
IHN-19982-362,3/29/2021,68894-91205-MP,R-L-1,3
VMT-10030-889,12/15/2021,87602-55754-VN,A-L-1,6
NHL-11063-100,5/20/2020,39181-35745-WH,A-L-1,4
ROV-87448-086,11/2/2020,30381-64762-NG,A-M-2.5,4
DGY-35773-612,7/25/2020,17503-27693-ZH,E-L-1,3
YWH-50638-556,3/14/2019,89442-35633-HJ,E-L-0.5,4
ISL-11200-600,7/2/2020,13654-85265-IL,A-D-0.2,6
LBZ-75997-047,12/17/2019,40946-22090-FP,A-M-2.5,6
EUH-08089-954,12/6/2020,29050-93691-TS,A-D-0.2,2
BLD-12227-251,3/4/2021,64395-74865-WF,A-M-0.5,2
OPY-30711-853,7/17/2021,81861-66046-SU,A-D-0.2,1
DBC-44122-300,11/4/2020,13366-78506-KP,L-M-0.2,3
FJQ-60035-234,4/5/2021,08847-29858-HN,A-L-0.2,2
HSF-66926-425,3/1/2020,00539-42510-RY,L-D-2.5,5
LQG-41416-375,10/19/2021,45190-08727-NV,L-D-1,3
VZO-97265-841,7/8/2022,87049-37901-FU,R-M-0.2,4
MOR-12987-399,8/17/2019,34015-31593-JC,L-M-1,6
UOA-23786-489,5/31/2020,90305-50099-SV,A-M-0.5,6
AJL-52941-018,5/5/2020,55871-61935-MF,E-D-1,2
XSZ-84273-421,4/14/2019,15405-60469-TM,R-M-0.5,3
NUN-48214-216,7/29/2020,06953-94794-FB,A-M-0.5,4
AKV-93064-769,12/12/2019,22305-40299-CY,L-D-0.5,1
BRB-40903-533,6/15/2022,09020-56774-GU,E-L-0.2,3
GPR-19973-483,6/26/2019,92926-08470-YS,R-D-0.5,5
XIY-43041-882,10/12/2021,07250-63194-JO,A-M-1,1
YGY-98425-969,4/1/2019,63787-96257-TQ,L-M-1,1
MSB-08397-648,3/10/2021,49530-25460-RW,R-L-0.2,4
WDR-06028-345,8/16/2019,66508-21373-OQ,L-L-1,1
MXM-42948-061,8/11/2020,20203-03950-FY,L-L-0.2,4
MGQ-98961-173,4/5/2022,83895-90735-XH,L-L-0.5,4
RFH-64349-897,10/22/2019,61954-61462-RJ,E-D-0.5,3
