Product ID,Coffee Type,Roast Type,Size,Unit Price,Price per 100g,Profit
A-L-0.2,Ara,L,0.2,3.885,1.9425,0.34965
A-L-0.5,Ara,L,0.5,7.77,1.554,0.6993
A-L-1,Ara,L,1.0,12.95,1.295,1.1655
A-L-2.5,Ara,L,2.5,29.785,1.1914,2.68065
A-M-0.2,Ara,M,0.2,3.375,1.6875,0.30375
A-M-0.5,Ara,M,0.5,6.75,1.35,0.6075
A-M-1,Ara,M,1.0,11.25,1.125,1.0125
A-M-2.5,Ara,M,2.5,25.875,1.035,2.32875
A-D-0.2,Ara,D,0.2,2.985,1.4925,0.26865
A-D-0.5,Ara,D,0.5,5.97,1.194,0.5373
A-D-1,Ara,D,1.0,9.95,0.995,0.8955
A-D-2.5,Ara,D,2.5,22.885,0.9154,2.05965
R-L-0.2,Rob,L,0.2,3.585,1.7925,0.2151
R-L-0.5,Rob,L,0.5,7.17,1.434,0.4302
R-L-1,Rob,L,1.0,11.95,1.195,0.717
R-L-2.5,Rob,L,2.5,27.485,1.0994,1.6491
R-M-0.2,Rob,M,0.2,2.985,1.4925,0.1791
R-M-0.5,Rob,M,0.5,5.97,1.194,0.3582
R-M-1,Rob,M,1.0,9.95,0.995,0.597
R-M-2.5,Rob,M,2.5,22.885,0.9154,1.3731
R-D-0.2,Rob,D,0.2,2.685,1.3425,0.1611
R-D-0.5,Rob,D,0.5,5.37,1.074,0.3222
R-D-1,Rob,D,1.0,8.95,0.895,0.537
R-D-2.5,Rob,D,2.5,20.585,0.8234,1.2351
L-L-0.2,Lib,L,0.2,4.755,2.3775,0.61815
L-L-0.5,Lib,L,0.5,9.51,1.902,1.2363
L-L-1,Lib,L,1.0,15.85,1.585,2.0605
L-L-2.5,Lib,L,2.5,36.455,1.4582,4.73915
L-M-0.2,Lib,M,0.2,4.365,2.1825,0.56745
L-M-0.5,Lib,M,0.5,8.73,1.746,1.1349
L-M-1,Lib,M,1.0,14.55,1.455,1.8915
L-M-2.5,Lib,M,2.5,33.465,1.3386,4.35045
L-D-0.2,Lib,D,0.2,3.885,1.9425,0.50505
L-D-0.5,Lib,D,0.5,7.77,1.554,1.0101
L-D-1,Lib,D,1.0,12.95,1.295,1.6835
L-D-2.5,Lib,D,2.5,29.785,1.1914,3.87205
E-L-0.2,Exc,L,0.2,4.455,2.2275,0.49005
E-L-0.5,Exc,L,0.5,8.91,1.782,0.9801
E-L-1,Exc,L,1.0,14.85,1.485,1.6335
E-L-2.5,Exc,L,2.5,34.155,1.3662,3.75705
E-M-0.2,Exc,M,0.2,4.125,2.0625,0.45375
E-M-0.5,Exc,M,0.5,8.25,1.65,0.9075
E-M-1,Exc,M,1.0,13.75,1.375,1.5125
E-M-2.5,Exc,M,2.5,31.625,1.265,3.47875
E-D-0.2,Exc,D,0.2,3.645,1.8225,0.40095
E-D-0.5,Exc,D,0.5,7.29,1.458,0.8019
E-D-1,Exc,D,1.0,12.15,1.215,1.3365
E-D-2.5,Exc,D,2.5,27.945,1.1178,3.07395
